brand,model,price_usd,rating,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,verified_purchase,review_counts,positive_sentiment,cluster,segment
Apple,iPhone 13,1106.38,3.150537634408602,2.754951895868704,2.754951895868704,2.765138653084324,2.765138653084324,2.710243350311262,0.7951329937747594,1767,0.5625353706847764,2,Premium
Apple,iPhone 14,1094.51,3.1761744966442955,2.738255033557047,2.7818791946308723,2.7237136465324383,2.773489932885906,2.7589485458612977,0.8154362416107382,1788,0.5587248322147651,2,Premium
Apple,iPhone 15 Pro,1102.27,3.079196876742889,2.6776352481873955,2.7071946458449525,2.661461238148355,2.675404350250976,2.691020635805912,0.7852760736196319,1793,0.5264919129949804,2,Premium
Apple,iPhone SE,1101.03,3.096881959910913,2.727728285077951,2.7037861915367483,2.7321826280623607,2.6909799554565703,2.735523385300668,0.7962138084632516,1796,0.5350779510022272,2,Premium
Google,Pixel 6,808.53,3.112232030264817,2.712063892391761,2.7099621689785622,2.689785624211854,2.7061790668348045,2.7154266498528794,0.8003362757461118,2379,0.5523329129886507,1,Mid-range
Google,Pixel 7a,809.44,3.1195299837925448,2.715964343598055,2.7321717990275527,2.7256888168557536,2.7212317666126418,2.7487844408427877,0.7982171799027553,2468,0.5441653160453809,1,Mid-range
Google,Pixel 8,799.52,3.122748219522413,2.731881022203603,2.7155425219941347,2.6912442396313363,2.7436112274821953,2.737746124842899,0.8206954335986594,2387,0.5416841223292836,1,Mid-range
Motorola,Edge 50,514.92,3.0872570194384448,2.6747300215982723,2.701511879049676,2.704535637149028,2.6885529157667385,2.70755939524838,0.803023758099352,2315,0.5304535637149028,0,Budget
Motorola,Moto G Power,505.34,3.1225010633772863,2.7150148872820075,2.7060825180774137,2.716290940025521,2.716290940025521,2.7192683964270525,0.8179498085920884,2351,0.5487026797107614,0,Budget
Motorola,Razr 40,511.44,3.1039665970772443,2.713152400835073,2.6839248434237994,2.7302713987473903,2.7248434237995824,2.724008350730689,0.7991649269311065,2395,0.5252609603340292,0,Budget
OnePlus,OnePlus 11R,667.0250000000001,3.1122071516646117,2.704480065762433,2.7077681874229347,2.713522400328812,2.703247020139745,2.7168105219893137,0.7969584874640362,2433,0.5421290587751747,1,Mid-range
OnePlus,OnePlus 12,668.0899999999999,3.128712871287129,2.727507533362032,2.746448557899268,2.721050365906156,2.718897976754197,2.709427464485579,0.7830391734825657,2323,0.5467068445975032,1,Mid-range
OnePlus,OnePlus Nord 3,669.4,3.1365546218487395,2.7327731092436975,2.734033613445378,2.7361344537815127,2.676890756302521,2.7407563025210084,0.8029411764705883,2380,0.5584033613445378,1,Mid-range
Realme,Realme 12 Pro,396.41,3.1405940594059407,2.7244695898161244,2.7142857142857144,2.7632248939179633,2.7340876944837342,2.758415841584158,0.7983026874115983,3535,0.5572842998585573,0,Budget
Realme,Realme Narzo 70,392.8200000000001,3.120378092855157,2.736725048651654,2.729218793438977,2.7450653322212957,2.714484292465944,2.733666944676119,0.8020572699471782,3597,0.5415624131220461,0,Budget
Samsung,Galaxy A55,908.74,3.088926174496644,2.721476510067114,2.6761744966442955,2.661633109619687,2.6940715883668904,2.651006711409396,0.8070469798657718,1788,0.5419463087248322,1,Mid-range
Samsung,Galaxy Note 20,905.775,3.1442146450531023,2.7406372275013973,2.7294577976523198,2.75684740078256,2.747344885410844,2.7255449972051426,0.8038010061486864,1789,0.548351034097261,1,Mid-range
Samsung,Galaxy S24,888.435,3.0715502555366268,2.6780238500851787,2.663827370812039,2.650198750709824,2.676320272572402,2.670641680863146,0.7927314026121521,1761,0.5303804656445201,1,Mid-range
Samsung,Galaxy Z Flip,905.38,3.128354725787631,2.7257876312718787,2.739206534422404,2.750291715285881,2.693115519253209,2.7421236872812136,0.7981330221703618,1714,0.5490081680280047,1,Mid-range
Xiaomi,Mi 13 Pro,443.83,3.0936605316973416,2.7022494887525563,2.6985685071574643,2.667075664621677,2.6695296523517382,2.710838445807771,0.7979550102249489,2445,0.5451942740286299,0,Budget
Xiaomi,Poco X6,451.6,3.1190885640584693,2.7115219260533103,2.72871883061049,2.7639724849527085,2.7562338779019777,2.716251074806535,0.8026655202063628,2326,0.5331040412725709,0,Budget
Xiaomi,Redmi Note 13,450.8,3.113765182186235,2.721052631578947,2.723886639676113,2.717004048582996,2.7093117408906884,2.697975708502024,0.8101214574898785,2470,0.5449392712550607,0,Budget
